bodyId,type,instance
252264,BM_InOm,BM_InOm_L
252308,BM_InOm,BM_InOm_L
252582,BM_InOm,BM_InOm_L
253245,BM_InOm,BM_InOm_L
253695,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
255012,BM_InOm,BM_InOm_R
255240,BM_InOm,BM_InOm_L
255563,BM_InOm,BM_InOm_L
256027,BM_InOm,BM_InOm_L
256521,BM_InOm,BM_InOm_L
258443,BM_InOm,BM_InOm_L
258520,BM_InOm,BM_InOm_L
259513,BM_InOm,BM_InOm_L
262241,BM_InOm,BM_InOm_R
262589,BM_InOm,BM_InOm_L
262699,BM_InOm,BM_InOm_R
263271,BM_InOm,BM_InOm_L
263985,BM_InOm,BM_InOm_R
264429,BM_InOm,BM_InOm_L
265662,BM_InOm,BM_InOm_L
265858,BM_InOm,BM_InOm_L
266262,BM_InOm,BM_InOm_L
266558,BM_InOm,BM_InOm_L
267387,BM_InOm,BM_InOm_L
268222,BM_InOm,BM_InOm_L
268351,JO-FD2,JO-FD2_R
269127,BM_InOm,BM_InOm_R
270485,BM_InOm,BM_InOm_L
270753,BM_InOm,BM_InOm_L
271182,BM_InOm,BM_InOm_L
272912,BM_InOm,BM_InOm_R
273370,BM_InOm,BM_InOm_L
274117,BM_InOm,BM_InOm_L
274188,BM_InOm,BM_InOm_R
275075,BM_InOm,BM_InOm_R
275384,BM_InOm,BM_InOm_L
275782,BM_InOm,BM_InOm_L
276101,BM_InOm,BM_InOm_L
276969,BM_InOm,BM_InOm_R
277445,BM_InOm,BM_InOm_L
277939,BM_InOm,BM_InOm_L
278464,BM_MaPa,BM_MaPa_L
278749,BM_InOm,BM_InOm_L
278901,BM_InOm,BM_InOm_R
279099,BM_InOm,BM_InOm_R
279391,JO-FV,JO-FV_L
279816,BM_InOm,BM_InOm_L
280127,BM_InOm,BM_InOm_L
280166,BM_InOm,BM_InOm_L
280704,BM_InOm,BM_InOm_L
281806,BM_InOm,BM_InOm_L
282176,BM_MaPa,BM_MaPa_L
283013,BM_InOm,BM_InOm_R
283181,BM_InOm,BM_InOm_L
284053,BM_InOm,BM_InOm_L
284978,BM_InOm,BM_InOm_R
285013,BM_InOm,BM_InOm_L
285042,BM_InOm,BM_InOm_L
285158,AN05B049_a,AN05B049_a_L
285376,BM_InOm,BM_InOm_L
287167,JO-FV,JO-FV_L
288123,BM_InOm,BM_InOm_L
289180,BM_InOm,BM_InOm_R
289340,BM_InOm,BM_InOm_L
290332,BM,BM_L
290991,BM_InOm,BM_InOm_L
291322,BM_InOm,BM_InOm_R
291345,,
291562,BM_InOm,BM_InOm_R
293061,BM_InOm,BM_InOm_R
293507,BM_InOm,BM_InOm_L
293891,BM_MaPa,BM_MaPa_L
295892,BM_InOm,BM_InOm_R
296982,BM_InOm,BM_InOm_R
297837,BM_InOm,BM_InOm_L
298220,BM_InOm,BM_InOm_L
299083,BM_InOm,BM_InOm_L
300061,BM_InOm,BM_InOm_R
301023,BM_InOm,BM_InOm_R
301457,BM_InOm,BM_InOm_L
302324,BM_InOm,BM_InOm_L
302428,BM_InOm,BM_InOm_R
302730,BM_Vib,BM_Vib_R
302835,BM_InOm,BM_InOm_R
303057,JO-FV,JO-FV_R
303718,BM_InOm,BM_InOm_R
303968,JO-FV,JO-FV_L
304209,BM_InOm,BM_InOm_R
304920,BM_InOm,BM_InOm_L
305417,BM,BM_R
306607,JO-FV,JO-FV_R
306786,BM_InOm,BM_InOm_R
307879,BM_InOm,BM_InOm_L
308970,JO-FV,JO-FV_L
311901,BM_InOm,BM_InOm_L
312163,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
312492,BM_InOm,BM_InOm_L
312644,BM_vOcci_vPoOr,BM_vOcci_vPoOr_R
313734,BM_InOm,BM_InOm_L
316058,BM_InOm,BM_InOm_L
317278,BM,BM_L
317373,BM_InOm,BM_InOm_L
318381,BM_InOm,BM_InOm_R
319505,BM_InOm,BM_InOm_L
320555,BM_InOm,BM_InOm_L
320580,BM_InOm,BM_InOm_L
