bodyId,type,instance
43716,AN09B020,AN09B020_L
43782,AN01B014,AN01B014_R
44315,ANXXX410,ANXXX410_R
44667,AN05B052,AN05B052_L
44895,SAD040,SAD040_L
44917,ANXXX037,ANXXX037_L
45049,GNG450,GNG450_R
46348,AN17A014,AN17A014_L
46359,AN05B063,AN05B063_L
46808,AN12B076,AN12B076_L
47311,AN12B076,AN12B076_L
47449,AN05B068,AN05B068_L
47468,AN05B063,AN05B063_R
47659,AN05B096,AN05B096_L
48265,GNG451,GNG451_L
48555,AN17A068,AN17A068_L
49096,BM,BM_R
50240,AN12B055,AN12B055_L
50285,AN17A047,AN17A047_R
50566,BM,BM_R
50843,GNG380,GNG380_L
51597,ANXXX264,ANXXX264_R
51964,GNG429,GNG429_L
52104,AN09B023,AN09B023_L
52450,AN01B014,AN01B014_L
53581,AN09B021,AN09B021_L
53588,AN01A006,AN01A006_R
54230,AN05B058,AN05B058_L
56630,AN05B049_c,AN05B049_c_L
56679,ANXXX075,ANXXX075_R
56693,BM,BM_L
56710,AN01A021,AN01A021_R
56906,AN09B023,AN09B023_R
58081,BM_Vt_PoOc,BM_Vt_PoOc_L
58494,BM_Vt_PoOc,BM_Vt_PoOc_L
58725,AN09B009,AN09B009_R
58828,BM,BM_R
60372,AN05B049_c,AN05B049_c_R
61729,BM,BM_L
62405,DNg39,DNg39_L
62677,AN05B063,AN05B063_R
64924,BM_Taste,BM_Taste_L
65073,BM_Hau,BM_Hau_L
66518,AN09B009,AN09B009_L
67239,ANXXX024,ANXXX024_R
67373,GNG205,GNG205_L
68405,BM,BM_R
70636,ANXXX024,ANXXX024_L
71245,AN05B071,AN05B071_L
71593,BM_Taste,BM_Taste_L
72215,AN05B015,AN05B015_L
73864,AN05B056,AN05B056_L
74105,AN17B005,AN17B005_L
75140,AN17A015,AN17A015_R
76858,GNG073,GNG073_L
77107,AN12B055,AN12B055_L
79289,AN05B071,AN05B071_L
79556,AN17A015,AN17A015_R
79634,ANXXX037,ANXXX037_R
80727,AN01A021,AN01A021_L
81744,BM_Taste,BM_Taste_L
