Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3)
43387,g13593,"statusLabel: Prelim Roughly traced,supertype: 12783",ACH,0.96,,,,,,visual_projection,,,VPNd2,,left,LC10d,LC10d,,,
43388,g,"statusLabel: Prelim Roughly traced,supertype: 14591",,,,,,,,cb_intrinsic,,,DM2_central,,left,CB4127,CB4127,,,
43389,g13918,statusLabel: Reviewed,ACH,0.96,,,,,,ol_intrinsic,,,,,left,T3,T3,,,
43391,g,"flywireType: CB4056,statusLabel: Prelim Roughly traced,supertype: 29602",GLUT,0.78,,,,,,cb_intrinsic,,,VPNp&v1_ventral,,right,PLP181,PLP181,,,
43393,g10694,statusLabel: Prelim Roughly traced,ACH,0.95,,,,,,ol_intrinsic,,,,,left,L3,L3,,,
43395,g23653,"flywireType: Tm32,statusLabel: Reviewed",GLUT,0.84,,,,,,ol_intrinsic,,,,,left,Tm34,Tm34,,,
43396,g,"statusLabel: Prelim Roughly traced,supertype: 17528",ACH,0.93,,,,,,cb_intrinsic,,,VLPd1,,right,AVLP049,AVLP049,,,
43397,g15043,"flywireType: Tm36,statusLabel: Reviewed",ACH,0.97,,,,,,ol_intrinsic,,,,,left,TmY21,TmY21,,,
43398,g10642,statusLabel: Roughly traced,GLUT,0.69,,,,,,ol_intrinsic,,,,,right,Lawf2,Lawf2,,,
43399,g13979,statusLabel: Prelim Roughly traced,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm1,Tm1,,,
43400,g10851,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,Tm2,Tm2,,,
43401,g16122,statusLabel: Reviewed,ACH,0.95,,,,,,ol_intrinsic,,,,,left,T4c,T4c,,,
43402,g12970,statusLabel: Roughly traced,,,,,,,,ol_intrinsic,,,,,right,T1,T1,,,
43403,g32099,"flywireType: CB3489,statusLabel: Prelim Roughly traced,supertype: 32099",GLUT,0.83,,,,,,cb_intrinsic,,,CLp2,,left,SMP274,SMP274,,,
43404,g12709,statusLabel: Prelim Roughly traced,GLUT,0.82,,,,,,ol_intrinsic,,,,,left,TmY5a,TmY5a,,,
43405,g12245,statusLabel: Reviewed,ACH,0.97,,,,,,ol_intrinsic,,,,,left,T2a,T2a,,,
43406,g12970,statusLabel: Roughly traced,,,,,,,,ol_intrinsic,,,,,right,T1,T1,,,
43407,g,"flywireType: CB1683,CB2146,statusLabel: Prelim Roughly traced,supertype: 30115",GLUT,0.81,,,,,,cb_intrinsic,,,SLPad1_posterior,,right,,,,,
43408,g12970,statusLabel: Prelim Roughly traced,,,,,,,,ol_intrinsic,,,,,left,T1,T1,,,
